date,value_only,combined_static
2009-01-02,1.0,1.0
2009-01-05,1.0,1.0
2009-01-06,1.0,1.0
2009-01-07,1.0,1.0
2009-01-08,1.0,1.0
2009-01-09,1.0,1.0
2009-01-12,1.0,1.0
2009-01-13,1.0,1.0
2009-01-14,1.0,1.0
2009-01-15,1.0,1.0
2009-01-16,1.0,1.0
2009-01-20,1.0,1.0
2009-01-21,1.0,1.0
2009-01-22,1.0,1.0
2009-01-23,1.0,1.0
2009-01-26,1.0,1.0
2009-01-27,1.0,1.0
2009-01-28,1.0,1.0
2009-01-29,1.0,1.0
2009-01-30,1.0,0.9995
2009-02-02,1.0,1.0044803677693253
2009-02-03,1.0,1.023943884772469
2009-02-04,1.0,0.9979419339157342
2009-02-05,1.0,1.0082595142239275
2009-02-06,1.0,1.0215832677083831
2009-02-09,1.0,1.015000341843104
2009-02-10,1.0,0.9797671736947804
2009-02-11,1.0,0.9853666005835122
2009-02-12,1.0,0.9950580977194478
2009-02-13,1.0,0.985732267797931
2009-02-17,1.0,0.9610865550522422
2009-02-18,1.0,0.9667122009593216
2009-02-19,1.0,0.9835355488344927
2009-02-20,1.0,0.9762186142039819
2009-02-23,1.0,0.9497689132791061
2009-02-24,1.0,0.9768429654128137
2009-02-25,1.0,0.9709354182814973
2009-02-26,1.0,0.9445884070456398
2009-02-27,1.0,0.9376332577505615
2009-03-02,1.0,0.9026095001877806
2009-03-03,1.0,0.9120411960763678
2009-03-04,1.0,0.9311005713370594
2009-03-05,1.0,0.8998177310968212
2009-03-06,1.0,0.9071475291970478
2009-03-09,1.0,0.9027507489953902
2009-03-10,1.0,0.933460139589659
2009-03-11,1.0,0.9170655485558277
2009-03-12,1.0,0.9547623073583847
2009-03-13,1.0,0.966856588314475
2009-03-16,1.0,0.9521012397496093
2009-03-17,1.0,0.9838118054563084
2009-03-18,1.0,0.9909890928556967
2009-03-19,1.0,0.9778532979734752
2009-03-20,1.0,0.9659725154844393
2009-03-23,1.0,1.0002977863314428
2009-03-24,1.0,0.9799254064314957
2009-03-25,1.0,0.9850738253902288
2009-03-26,1.0,1.0099610573277413
2009-03-27,1.0,0.9886194496596606
2009-03-30,1.0,0.9871237032948154
2009-03-31,1.0,0.9920953594754051
2009-04-01,1.0,1.0024219680756281
2009-04-02,1.0,1.0016719621161378
2009-04-03,1.0,1.0083901546999958
2009-04-06,1.0,1.0166967743360096
2009-04-07,1.0,0.988161929631359
2009-04-08,1.0,1.0082727817135801
2009-04-09,1.0,1.0418098135601876
2009-04-13,1.0,1.0398464593127539
2009-04-14,1.0,1.026311951136739
2009-04-15,1.0,1.0222786866511653
2009-04-16,1.0,1.0542175816033919
2009-04-17,1.0,1.0662319366722615
2009-04-20,1.0,1.0601717905859616
2009-04-21,1.0,1.0497415040685378
2009-04-22,1.0,1.0460228291860292
2009-04-23,1.0,1.0593480093353453
2009-04-24,1.0,1.037374954716805
2009-04-27,1.0,1.066818133282077
2009-04-28,1.0,1.071064907920056
2009-04-29,1.0,1.0617136904775133
2009-04-30,1.0,1.0743226807804505
2009-05-01,1.0,1.0598798948035568
2009-05-04,1.0,1.086318590901441
2009-05-05,1.0,1.0928475565482998
2009-05-06,1.0,1.069005494640878
2009-05-07,1.0,1.0386304862497429
2009-05-08,1.0,1.0553233262646868
2009-05-11,1.0,1.048601108017514
2009-05-12,1.0,1.0471053283582006
2009-05-13,1.0,1.027313155661815
2009-05-14,1.0,1.0354611732986636
2009-05-15,1.0,1.0357122687586613
2009-05-18,1.0,1.0643057526048398
2009-05-19,1.0,1.0648472757494116
2009-05-20,1.0,1.0560317407969557
2009-05-21,1.0,1.039982505374593
2009-05-22,1.0,1.04301038577518
2009-05-26,1.0,1.0739148607722664
2009-05-27,1.0,1.0473791276732234
2009-05-28,1.0,1.0436891667818924
2009-05-29,1.0,1.0522409598600722
2009-06-01,1.0,1.0719191397765844
2009-06-02,1.0,1.0814778719602076
2009-06-03,1.0,1.065648758586668
2009-06-04,1.0,1.0793115402450961
2009-06-05,1.0,1.059594982704212
2009-06-08,1.0,1.059951593403848
2009-06-09,1.0,1.065460072968978
2009-06-10,1.0,1.0509390295746728
2009-06-11,1.0,1.0411430739457441
2009-06-12,1.0,1.0412066036514498
2009-06-15,1.0,1.0196406891164234
2009-06-16,1.0,1.0110741098157991
2009-06-17,1.0,1.020763990242715
2009-06-18,1.0,1.0372836762159294
2009-06-19,1.0,1.042678244534109
2009-06-22,1.0,1.0080536426893316
2009-06-23,1.0,1.0156870288842679
2009-06-24,1.0,1.0286623951683653
2009-06-25,1.0,1.0491769041508399
2009-06-26,1.0,1.052424013503395
2009-06-29,1.0,1.0592122822098142
2009-06-30,1.0,1.047050702557634
2009-07-01,1.0,1.0428975954961412
2009-07-02,1.0,1.0143287976601525
2009-07-06,1.0,1.0044992328591322
2009-07-07,1.0,0.9753449444821909
2009-07-08,1.0,0.9670630855395298
2009-07-09,1.0,0.9854425586938939
2009-07-10,1.0,0.9843682571846557
2009-07-13,1.0,1.0127314471958435
2009-07-14,1.0,1.0210511739887305
2009-07-15,1.0,1.056795034705202
2009-07-16,1.0,1.065542876281029
2009-07-17,1.0,1.068595893636738
2009-07-20,1.0,1.087350429143254
2009-07-21,1.0,1.0814068067781775
2009-07-22,1.0,1.0987954950917522
2009-07-23,1.0,1.1282445785494135
2009-07-24,1.0,1.115464755736126
2009-07-27,1.0,1.114735890976105
2009-07-28,1.0,1.1108989695181535
2009-07-29,1.0,1.0998140517119155
2009-07-30,1.0,1.1266266008611738
2009-07-31,0.9995,1.1335453490789915
2009-08-03,1.0185440559759416,1.164698891007392
2009-08-04,1.0193381295209687,1.1595347328034131
2009-08-05,1.0121720393212126,1.1596723754847207
2009-08-06,1.0101619229511645,1.1532193366290324
2009-08-07,1.0337931994434757,1.1772851973433747
2009-08-10,1.0247604595054909,1.170920679927888
2009-08-11,1.0173322462432333,1.161915604653479
2009-08-12,1.0358756110116725,1.1795682375379406
2009-08-13,1.046385292365079,1.192261484937027
2009-08-14,1.0302394007092177,1.1723564041045336
2009-08-17,1.0022289270554925,1.1366574620665033
2009-08-18,1.0132426940086736,1.1535937858476513
2009-08-19,1.0197277263105964,1.1622057670412889
2009-08-20,1.0334230227688832,1.1807027357909599
2009-08-21,1.0512497680037536,1.2018451152802343
2009-08-24,1.0455477887585982,1.1946280008222006
2009-08-25,1.0489997260697868,1.2022249877550255
2009-08-26,1.0420576478786605,1.1964746189684123
2009-08-27,1.0450572627603347,1.206753747692205
2009-08-28,1.0427336612560882,1.2083422222898355
2009-08-31,1.0294353150845803,1.1910205971198315
2009-09-01,1.007952962589537,1.1596828094716811
2009-09-02,1.0063661330217164,1.158062555989383
2009-09-03,1.0202623325684892,1.178310925941314
2009-09-04,1.030684984587136,1.1926444237232778
2009-09-08,1.0361004959629296,1.210140542514184
2009-09-09,1.0475861816017529,1.2259740192724295
2009-09-10,1.055099830754638,1.241072715022914
2009-09-11,1.0519838046575187,1.2394497749249511
2009-09-14,1.0599500711174865,1.2482168514124585
2009-09-15,1.0616328358389866,1.2531452716306244
2009-09-16,1.0797003863212205,1.2747511973592673
2009-09-17,1.0747914122373903,1.2679672214792852
2009-09-18,1.075634922209997,1.268274393409999
2009-09-21,1.0749486831416954,1.2653761824755296
2009-09-22,1.0800612383951385,1.277043803361829
2009-09-23,1.067953016541218,1.2625925415332766
2009-09-24,1.0598351044555332,1.2434517170016242
2009-09-25,1.0547877476893373,1.238251592324211
2009-09-28,1.0741252794542397,1.2650452376937658
2009-09-29,1.0706444208571,1.2586600746931051
2009-09-30,1.070224639959934,1.2578327484432308
2009-10-01,1.0483940612765326,1.2200756996728177
2009-10-02,1.0469502828114106,1.2174216077519802
2009-10-05,1.0576439741686867,1.241450813229796
2009-10-06,1.0724865262703374,1.2600307372303443
2009-10-07,1.078402687384381,1.2676321190721722
2009-10-08,1.0805871539589575,1.2720441680908314
2009-10-09,1.087865384414753,1.284845686700124
2009-10-12,1.0912420681710466,1.296974189162328
2009-10-13,1.0878501028469179,1.2889610483153506
2009-10-14,1.1100038005895854,1.3177344884751852
2009-10-15,1.1121139633584696,1.3120909150742583
2009-10-16,1.1048901312480017,1.2906421158472465
2009-10-19,1.1193382733379034,1.3098942071352557
2009-10-20,1.1136698068666673,1.3087006004973467
2009-10-21,1.100126842101965,1.2898609446447844
2009-10-22,1.1161692606776301,1.3107667113888426
2009-10-23,1.1173416450908258,1.3005441386430217
2009-10-26,1.1077754467069518,1.2824765691595124
2009-10-27,1.0986854843509168,1.264052716174876
